state,age,sex,race_ethnicity,citizen,married,school,military,income,public_housing,phone,health,family_size,mother_origin,father_origin
44,20,0,1,1,2,2,1,100920,0,1,2,4,6,7
44,18,1,1,1,2,1,1,40327,0,1,2,3,1,7
44,21,1,3,2,1,2,1,100000,0,1,2,3,4,4
44,16,1,3,1,2,1,0,73000,0,1,2,4,3,3
44,18,1,3,1,2,3,1,0,0,1,2,3,3,3
44,24,0,3,2,2,3,1,0,0,1,2,3,3,3
44,24,0,3,1,2,3,1,133618,0,1,1,5,2,1
44,22,1,3,1,2,2,1,133618,0,1,2,5,2,1
44,24,1,4,1,2,2,1,116000,0,1,1,3,5,1
44,23,0,4,1,2,1,1,90972,0,1,2,4,5,5
44,18,0,3,1,2,3,1,37440,0,1,3,4,3,3
44,16,1,3,1,2,1,0,40601,0,1,2,5,3,3
44,22,1,3,1,2,2,1,92400,0,1,2,4,3,3
44,17,0,3,1,2,1,1,92400,0,1,1,4,3,3
44,19,0,3,2,2,1,1,72000,0,1,3,3,3,3
44,19,1,3,1,2,2,1,55938,0,1,3,6,3,3
44,17,1,3,1,2,1,1,55938,0,1,5,6,3,3
44,22,0,3,1,2,3,1,51198,0,1,3,7,4,4
44,21,0,3,1,2,2,1,51198,0,1,3,7,4,4
44,19,0,3,2,2,3,1,39215,0,1,1,6,3,3
44,22,1,3,2,2,2,1,39215,0,1,1,6,3,3
44,20,0,3,2,2,3,1,39215,0,1,1,6,3,3
44,19,1,3,1,2,3,1,28236,1,1,2,3,2,2
44,24,1,3,2,2,3,1,12000,1,1,4,4,3,3
44,23,1,3,1,2,3,1,152383,0,1,3,2,3,4
44,22,1,3,2,2,3,1,159828,0,1,3,3,4,4
44,17,1,3,1,2,1,1,49840,0,1,2,4,4,4
44,19,0,3,1,2,2,1,98000,0,1,3,6,3,3
44,21,1,3,1,2,3,1,21000,0,1,2,5,4,4
44,16,1,3,2,2,1,0,13002,1,1,2,4,3,3
44,17,1,3,2,2,1,1,13002,1,1,2,4,3,3
44,19,0,3,1,2,2,1,41308,0,1,3,3,1,3
44,21,0,3,1,2,3,1,30000,0,1,1,1,3,3
44,22,1,3,1,1,3,1,112100,0,1,1,2,3,3
44,24,0,3,2,1,3,1,25000,0,1,3,2,3,3
44,23,1,3,1,2,2,1,25472,0,0,3,5,3,3
44,24,0,3,2,2,3,1,36000,1,1,3,2,3,3
44,17,0,3,1,2,1,1,42000,0,1,2,6,3,3
44,19,1,3,2,2,3,1,40830,0,1,1,5,4,4
44,16,0,3,2,2,1,0,40830,0,1,1,5,4,4
44,19,1,3,1,1,1,1,35000,0,1,2,3,4,4
44,18,1,4,1,2,2,1,24000,0,1,1,5,5,5
44,16,1,4,1,2,1,0,24000,0,1,1,5,5,5
44,16,0,2,1,2,1,0,70688,0,1,3,4,4,4
44,18,0,6,1,2,1,1,30260,0,1,3,3,6,1
44,17,0,1,1,2,1,1,61002,0,1,1,4,6,6
44,17,0,2,2,2,1,1,68500,0,0,3,5,7,7
44,19,1,2,2,2,2,1,24518,0,1,3,3,9,9
44,16,0,1,2,3,1,0,481969,0,1,1,3,6,6
44,20,0,1,1,2,2,1,153800,0,1,2,5,6,6
44,17,1,1,1,2,1,1,153800,0,1,1,5,6,6
44,16,1,6,1,2,1,0,135146,0,1,1,3,6,9
44,24,0,1,1,2,3,1,62100,0,1,2,6,6,4
44,20,0,1,1,2,2,1,62100,0,1,2,6,6,4
44,22,0,2,2,2,3,1,145600,0,1,2,5,7,7
44,22,0,2,1,2,3,1,145600,0,1,2,5,7,7
44,18,1,2,1,2,3,1,145600,0,1,2,5,7,7
44,17,1,4,1,2,3,1,15098,0,0,2,2,5,5
44,20,1,2,1,2,2,1,52382,0,1,2,6,6,6
44,24,0,4,1,2,3,1,167266,0,1,1,4,5,5
44,23,0,4,1,2,3,1,167266,0,1,1,4,5,5
44,18,0,4,1,2,2,1,56000,0,1,2,4,5,5
44,17,1,4,1,2,1,1,56000,0,1,2,4,5,5
44,23,0,3,2,2,3,1,109612,0,1,1,4,3,3
44,20,1,3,2,2,2,1,109612,0,1,2,4,3,3
44,20,1,3,2,2,1,1,11500,0,1,3,3,3,3
44,22,1,3,1,2,3,1,2000,1,1,2,3,3,3
44,22,1,2,2,2,2,1,46000,0,1,3,4,7,7
44,21,0,2,2,2,2,1,46000,0,1,3,4,7,7
44,19,1,2,2,2,2,1,46000,0,1,3,4,7,7
44,21,0,4,1,2,2,1,41480,0,1,3,5,5,5
44,22,1,3,1,1,3,1,108096,0,1,1,3,3,3
44,19,1,3,1,2,3,1,30000,0,1,2,2,2,1
44,19,1,4,1,2,2,1,56686,0,1,3,6,5,5
44,18,1,4,1,2,1,1,56686,0,1,3,6,5,5
9,19,1,3,1,2,2,1,134356,0,1,2,2,1,2
9,16,0,1,1,2,1,0,55130,0,1,1,5,6,6
9,21,1,1,1,2,2,1,15225,1,1,2,1,1,6
9,16,1,3,2,2,1,0,77253,0,1,1,7,3,3
9,17,0,1,1,2,2,1,119491,0,1,2,3,4,1
9,23,0,1,1,2,3,1,30169,0,1,4,1,3,1
9,20,1,3,1,2,3,1,169020,0,1,2,5,1,3
9,18,1,3,1,2,3,1,169020,0,1,1,5,1,3
9,22,0,3,1,2,3,1,84405,0,1,2,2,1,2
9,21,1,3,1,2,2,1,146711,0,1,1,5,3,3
9,19,1,3,1,2,2,1,146711,0,1,1,5,3,3
9,17,0,3,1,2,1,1,146711,0,1,1,5,3,3
9,21,0,1,1,2,2,1,456892,0,1,3,4,1,8
9,19,1,1,1,2,2,1,456892,0,1,3,4,1,8
9,24,0,1,1,2,3,1,183044,0,1,4,4,6,1
9,20,0,3,1,2,3,1,15597,0,1,4,3,1,3
9,19,0,3,1,2,3,1,15597,0,1,2,3,1,3
9,20,1,3,1,2,2,1,45500,0,1,1,6,3,3
9,21,1,3,1,1,3,1,45500,0,1,1,6,3,3
9,24,0,3,1,1,3,1,45500,0,1,1,6,2,2
9,18,1,2,1,2,1,1,50804,0,1,2,1,3,3
9,18,0,4,2,2,1,1,144920,0,1,2,3,5,5
9,20,0,3,2,2,3,1,117040,0,1,1,5,4,4
9,18,0,3,2,2,1,1,117040,0,1,1,5,4,4
9,18,1,3,1,2,2,1,60323,0,1,3,6,3,3
9,21,1,3,2,2,2,1,71000,0,1,1,4,4,4
9,17,1,3,2,2,1,1,71000,0,1,1,4,4,4
9,17,1,3,1,2,1,1,103002,0,1,1,4,3,3
9,21,0,3,2,2,2,1,48000,0,1,3,4,4,4
9,20,1,3,2,2,2,1,71632,0,1,1,3,4,4
9,19,0,3,2,2,2,1,21700,1,1,1,2,3,3
9,19,1,3,1,2,2,1,29000,1,1,1,6,1,2
9,16,1,3,1,2,1,0,29000,1,1,1,6,2,2
9,19,0,1,1,2,1,1,189566,0,1,5,5,6,6
9,20,1,4,1,2,2,1,330157,0,1,1,4,5,1
9,17,0,4,1,2,1,1,330157,0,1,2,4,5,1
9,20,1,2,2,1,1,1,33650,0,1,2,4,3,3
9,16,1,1,1,2,1,0,106000,0,1,1,2,6,1
9,19,1,2,1,2,2,1,39724,0,1,1,6,1,3
9,19,0,1,1,2,2,1,229426,0,1,1,5,8,1
9,17,1,1,1,2,1,1,229426,0,1,1,5,8,1
9,18,1,3,1,2,2,1,79922,0,1,2,3,4,1
9,22,1,1,1,2,3,1,5000,0,1,1,2,8,8
9,17,0,4,1,2,1,1,42000,0,1,3,4,1,5
9,24,1,3,1,2,3,1,41200,0,1,4,4,2,2
9,24,0,3,2,2,1,1,34307,0,1,2,1,3,3
9,20,0,3,2,2,3,1,34307,0,1,2,1,3,3
9,16,0,3,1,2,1,0,163100,0,1,1,4,3,3
9,18,1,1,1,2,2,1,39527,0,1,2,4,6,6
9,22,1,1,2,1,3,1,214000,0,1,1,7,4,4
9,23,0,3,2,2,3,1,76346,0,1,1,5,4,4
9,23,1,3,2,2,3,1,20000,1,1,2,2,3,3
9,18,1,3,1,2,1,1,43300,0,1,3,4,3,3
9,17,0,3,1,2,1,1,43300,0,1,3,4,3,3
9,16,0,3,1,2,1,0,43300,0,1,3,4,3,3
9,23,1,4,2,2,3,1,41080,0,1,1,1,5,5
9,22,1,4,2,2,3,1,41080,0,1,1,1,5,5
9,22,1,4,2,2,3,1,41080,0,1,1,1,5,5
9,23,1,4,1,2,3,1,37000,0,1,2,1,5,5
9,18,0,3,1,2,1,1,56637,0,1,3,1,2,1
9,22,0,1,2,2,3,1,53762,0,1,1,2,6,6
9,18,0,4,1,2,1,1,16600,0,1,1,2,5,5
9,22,1,1,2,2,3,1,77415,0,1,1,5,6,6
9,19,1,1,2,2,2,1,77415,0,1,1,5,6,6
9,23,0,1,2,1,3,1,73000,0,1,3,4,4,4
9,21,1,1,2,2,3,1,73000,0,1,3,4,4,4
9,21,0,2,2,2,3,1,42002,0,1,3,1,3,3
9,23,0,2,1,2,3,1,75000,0,1,2,1,3,3
9,21,0,1,1,2,2,1,33797,0,1,1,4,6,6
9,17,1,1,1,2,1,1,33797,0,1,1,4,6,6
9,21,1,3,1,1,2,1,15936,0,1,3,2,2,2
9,21,0,2,1,2,2,1,29900,0,1,1,4,2,1
9,23,1,1,1,2,3,1,133010,0,1,2,2,6,6
9,17,0,3,1,2,1,1,14800,0,0,3,3,1,3
9,19,0,2,1,2,3,1,100800,0,1,2,6,2,1
9,18,0,2,1,2,3,1,100800,0,1,2,6,2,1
9,21,0,3,1,2,3,1,56154,0,1,4,6,2,2
9,24,1,3,1,2,3,1,13000,0,0,1,4,2,2
9,20,0,3,1,2,3,1,5720,0,1,4,7,2,2
9,20,0,3,1,2,3,1,5720,0,1,4,7,2,2
9,18,0,3,1,2,3,1,5720,0,1,4,7,2,2
9,16,0,3,1,2,3,0,5720,0,1,4,7,2,2
9,16,1,3,1,2,1,0,21453,0,1,2,3,2,2
9,24,0,3,1,2,2,1,84080,0,1,4,3,1,4
9,21,1,3,2,2,2,1,144188,0,1,2,2,4,4
9,16,1,3,1,1,1,0,33500,0,1,1,3,2,2
9,19,0,3,1,2,3,1,33500,0,1,2,3,2,2
9,18,0,3,1,2,1,1,112938,0,1,1,3,2,1
9,18,1,2,1,2,1,1,29944,0,1,2,3,1,3
9,17,0,2,2,2,1,1,59200,0,1,2,6,3,3
9,21,0,1,1,2,2,1,139042,0,1,4,5,3,3
